Countries,Australia,Canada,China,Egypt,France,Germany,India,Indonesia,Israel,Italy,Japan,Pakistan,Poland,Russia,SouthKorea,Taiwan,Thailand,Turkey,UK,USA
Australia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Canada,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
China,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
France,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Germany,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
India,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1
Indonesia,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Italy,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pakistan,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
Poland,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Russia,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthKorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thailand,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Turkey,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
UK,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
USA,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0
